Date,Season,Div,HomeTeam,AwayTeam,y,model_p_H,model_p_D,model_p_A,model_mondrian_size_a10,model_mondrian_mask_a10,model_mondrian_size_a20,model_mondrian_mask_a20,model_mondrian_size_a30,model_mondrian_mask_a30,market_p_H,market_p_D,market_p_A,market_mondrian_size_a10,market_mondrian_mask_a10,market_mondrian_size_a20,market_mondrian_mask_a20,market_mondrian_size_a30,market_mondrian_mask_a30
2025-08-18,2025,E0,Leeds,Everton,0,0.38195185715103575,0.29566978527099536,0.3223783575779689,3,HDA,2,DA,2,DA,0.4030403040304031,0.2914291429142914,0.3055305530553056,3,HDA,3,HDA,2,DA
2025-08-19,2025,SP1,Real Madrid,Osasuna,0,0.7787537400703042,0.12068093298343718,0.10056532694625869,1,H,1,H,1,H,0.7780921584478578,0.135610347615198,0.0862974939369442,1,H,1,H,1,H
2025-08-22,2025,F1,Paris SG,Angers,0,0.8566189248744599,0.09108665415855768,0.052294420966982454,1,H,1,H,1,H,0.8868193142721557,0.072309882548345,0.0408708031794993,1,H,1,H,1,H
2025-08-22,2025,E0,West Ham,Chelsea,2,0.1422000059157609,0.24540519348673234,0.6123948005975067,2,DA,2,DA,2,DA,0.21027667984189724,0.24901185770750983,0.540711462450593,2,DA,2,DA,2,DA
2025-08-22,2025,D1,Bayern Munich,RB Leipzig,0,0.7753305030814296,0.14070562284484983,0.08396387407372058,1,H,1,H,1,H,0.7780921584478578,0.135610347615198,0.0862974939369442,1,H,1,H,1,H
2025-08-22,2025,SP1,Betis,Alaves,0,0.5498591929758077,0.24406649207672523,0.20607431494746714,3,HDA,2,HD,2,HD,0.5141647343482206,0.27674160701683637,0.20909365863494306,3,HDA,2,HD,2,HD
2025-08-23,2025,I1,Genoa,Lecce,1,0.5413464469118847,0.2711387357455115,0.18751481734260372,3,HDA,2,HD,2,HD,0.5411140583554377,0.27851458885941643,0.18037135278514582,2,HD,2,HD,2,HD
2025-08-23,2025,I1,Milan,Cremonese,2,0.7405980063841192,0.14809865918535012,0.11130333443053064,1,H,1,H,1,H,0.7282229965156796,0.17212543554006965,0.09965156794425083,1,H,1,H,1,H
2025-08-23,2025,E0,Bournemouth,Wolves,0,0.4742494013496011,0.3137833335794508,0.21196726507094807,3,HDA,2,HD,2,HD,0.5257095980311732,0.25575061525840853,0.21853978671041832,3,HDA,2,HD,2,HD
2025-08-23,2025,D1,Ein Frankfurt,Werder Bremen,0,0.6164768154479022,0.24494824573551877,0.138574938816579,2,HD,2,HD,2,HD,0.619757688723206,0.1996272134203169,0.1806150978564771,2,HD,1,H,1,H
2025-08-23,2025,D1,Freiburg,Augsburg,2,0.45501918278663134,0.3104260908130719,0.2345547264002968,3,HDA,3,HDA,2,HD,0.4949762030671602,0.2626123744050767,0.2424114225277631,3,HDA,3,HDA,2,HD
2025-08-23,2025,F1,Marseille,Paris FC,0,0.7120238211759858,0.17673099699359376,0.11124518183042041,2,HD,1,H,1,H,0.6617257808364215,0.18793012175754362,0.15034409740603494,1,H,1,H,1,H
2025-08-23,2025,F1,Lyon,Metz,0,0.750130923460017,0.1494974140265057,0.10037166251347726,1,H,1,H,1,H,0.6756756756756757,0.1891891891891892,0.1351351351351351,1,H,1,H,1,H
2025-08-23,2025,F1,Nice,Auxerre,0,0.5677676881517125,0.2340985720470335,0.19813373980125398,3,HDA,2,HD,2,HD,0.5125,0.25625,0.23125,3,HDA,2,HD,2,HD
2025-08-23,2025,SP1,Ath Madrid,Elche,1,0.7142282458309738,0.16114717121619093,0.1246245829528353,2,HD,1,H,1,H,0.7389083432389887,0.16577248048318183,0.09531917627782951,1,H,1,H,1,H
2025-08-23,2025,SP1,Levante,Barcelona,2,0.13316209812703875,0.14438954210861835,0.7224483597643429,1,A,1,A,1,A,0.07885055185442971,0.14557024957740872,0.7755791985681616,1,A,1,A,1,A
2025-08-23,2025,I1,Sassuolo,Napoli,2,0.18188692087272046,0.1802371835637932,0.6378758955634863,2,DA,1,A,1,A,0.16559300196650162,0.2573404760290229,0.5770665220044756,2,DA,2,DA,2,DA
2025-08-23,2025,E0,Brentford,Aston Villa,0,0.22921527115152093,0.3097021374017637,0.4610825914467153,2,DA,2,DA,2,DA,0.2785145888594165,0.2705570291777188,0.4509283819628648,2,DA,2,DA,2,DA
2025-08-23,2025,E0,Man City,Tottenham,2,0.7302560210227966,0.15748941898345947,0.1122545599937439,2,HD,1,H,1,H,0.6048853824355069,0.21652940941686732,0.17858520814762582,2,HD,1,H,1,H
2025-08-23,2025,I1,Roma,Bologna,0,0.36600321531295776,0.29967576265335083,0.3343210220336914,3,HDA,2,DA,2,DA,0.4317656129529684,0.2968388589051658,0.2713955281418658,3,HDA,3,HDA,1,D
2025-08-23,2025,D1,Leverkusen,Hoffenheim,2,0.6208548638351986,0.20983344629158746,0.1693116898732139,2,HD,2,HD,1,H,0.5452990911681814,0.2246112923145128,0.2300896165173058,3,HDA,1,H,1,H
2025-08-23,2025,D1,Union Berlin,Stuttgart,0,0.1980774849653244,0.1713818460702896,0.630540668964386,2,DA,1,A,1,A,0.2307459524890301,0.2522822413880062,0.5169718061229637,2,DA,2,DA,2,DA
2025-08-23,2025,D1,Heidenheim,Wolfsburg,2,0.3521865904331207,0.2681032121181488,0.37971019744873047,3,HDA,2,DA,2,DA,0.33938294010889286,0.28796128251663644,0.37265577737447064,3,HDA,2,DA,2,DA
2025-08-23,2025,SP1,Mallorca,Celta,1,0.2992501169666613,0.3605413627463173,0.34020852028702137,2,DA,2,DA,2,DA,0.2885143081144649,0.2975303802430419,0.4139553116424932,2,DA,2,DA,2,DA
2025-08-23,2025,E0,Arsenal,Leeds,0,0.769668627237251,0.12600192239877697,0.10432945036397204,1,H,1,H,1,H,0.7151598592626588,0.17293865687624294,0.11190148386109831,1,H,1,H,1,H
2025-08-23,2025,E0,Burnley,Sunderland,0,0.2676831941415783,0.4000419020677747,0.332274903790647,2,DA,2,DA,2,DA,0.4050632911392405,0.2974683544303798,0.2974683544303798,3,HDA,3,HDA,2,DA
2025-08-23,2025,D1,St Pauli,Dortmund,1,0.2417746448252403,0.22099725572768963,0.5372280994470701,2,DA,2,DA,2,DA,0.230114566284779,0.2612111292962357,0.5086743044189853,2,DA,2,DA,2,DA
2025-08-24,2025,SP1,Sociedad,Espanol,1,0.5692939758300781,0.24484576284885406,0.1858602613210678,3,HDA,2,HD,2,HD,0.5153780232336698,0.2679965720815083,0.2166254046848219,3,HDA,2,HD,2,HD
2025-08-24,2025,E0,Everton,Brighton,0,0.24899617214518016,0.26475362786261913,0.48625019999220076,2,DA,2,DA,2,DA,0.3280584297017651,0.28630553864881314,0.3856360316494218,3,HDA,2,DA,2,DA
2025-08-24,2025,SP1,Oviedo,Real Madrid,2,0.19760153893230054,0.2614942452088856,0.5409042158588139,2,DA,2,DA,2,DA,0.1099991729385493,0.1869985939955339,0.7030022330659168,1,A,1,A,1,A
2025-08-24,2025,SP1,Villarreal,Girona,0,0.7103226184844971,0.16036991775035858,0.12930746376514435,2,HD,1,H,1,H,0.6344558321132261,0.2220595412396291,0.1434846266471449,2,HD,1,H,1,H
2025-08-24,2025,I1,Cagliari,Fiorentina,1,0.2517273947081746,0.2882966611296934,0.459975944162132,2,DA,2,DA,2,DA,0.31481481481481477,0.31481481481481477,0.37037037037037046,3,HDA,2,DA,2,DA
2025-08-24,2025,I1,Como,Lazio,0,0.38015190899824824,0.30895144668076774,0.310896644320984,3,HDA,2,DA,2,DA,0.41002004008016035,0.28577154308617236,0.30420841683366734,3,HDA,3,HDA,2,DA
2025-08-24,2025,E0,Crystal Palace,Nott'm Forest,1,0.3118135127965663,0.3728384784709954,0.31534800873243835,3,HDA,2,DA,2,DA,0.4030403040304031,0.2914291429142914,0.3055305530553056,3,HDA,3,HDA,2,DA
2025-08-24,2025,E0,Fulham,Man United,1,0.17660927772521973,0.2876708507537842,0.5357198715209961,2,DA,2,DA,2,DA,0.27754795035727714,0.26212861978187285,0.4603234298608499,2,DA,2,DA,2,DA
2025-08-24,2025,F1,Lille,Monaco,0,0.22568515424347724,0.3282168062828419,0.4460980394736809,2,DA,2,DA,2,DA,0.2982193064667292,0.2579194001874414,0.4438612933458294,2,DA,2,DA,2,DA
2025-08-24,2025,I1,Juventus,Parma,0,0.732842363928486,0.16192842537377997,0.10522921069773404,2,HD,1,H,1,H,0.6697674418604652,0.21134883720930234,0.11888372093023251,2,HD,1,H,1,H
2025-08-24,2025,D1,M'gladbach,Hamburg,1,0.4370211064815521,0.3046073615550995,0.2583715319633484,3,HDA,3,HDA,1,D,0.4830216088614491,0.24786635191574355,0.26911203922280735,3,HDA,3,HDA,2,HD
2025-08-24,2025,D1,Mainz,FC Koln,2,0.431230412982988,0.3574830485140369,0.21128653850297516,3,HDA,2,HD,1,D,0.4833968426782798,0.2618399564507349,0.2547632008709852,3,HDA,3,HDA,2,HD
2025-08-24,2025,F1,Toulouse,Brest,0,0.39990167618090877,0.3124015834211831,0.2876967403979081,3,HDA,3,HDA,2,DA,0.4302959501557632,0.27842679127725856,0.29127725856697817,3,HDA,3,HDA,2,DA
2025-08-24,2025,F1,Strasbourg,Nantes,0,0.4772884263224348,0.26318360786535694,0.2595279658122083,3,HDA,3,HDA,2,HD,0.5405405405405406,0.27027027027027023,0.18918918918918926,3,HDA,2,HD,2,HD
2025-08-24,2025,F1,Le Havre,Lens,2,0.11863258657802025,0.2152304234390024,0.6661369899829773,2,DA,2,DA,1,A,0.2253807106598985,0.2629441624365483,0.5116751269035533,2,DA,2,DA,2,DA
2025-08-24,2025,F1,Lorient,Rennes,0,0.2721420228481293,0.38470134139060974,0.343156635761261,2,DA,2,DA,2,DA,0.34343434343434337,0.28619528619528617,0.37037037037037035,3,HDA,2,DA,2,DA
2025-08-24,2025,SP1,Osasuna,Valencia,0,0.39562153816223145,0.2912270128726959,0.31315144896507263,3,HDA,3,HDA,2,DA,0.4322033898305085,0.28813559322033905,0.2796610169491526,3,HDA,3,HDA,2,HD
